hour,complete_turns,local,remote://Vero,unknown
2026-09-17T10,1,0,0,1
2026-09-17T11,2,0,0,2
2026-09-17T12,2,0,0,2
2026-09-17T13,4,0,0,4
2026-09-17T14,6,0,0,6
2026-09-17T15,5,0,0,5
2026-09-17T16,6,0,0,6
2026-09-17T17,5,0,0,5
2026-09-17T18,5,0,0,5
2026-09-17T20,5,0,0,5
2026-09-17T21,3,0,0,3
2026-09-17T22,1,0,0,1
2026-09-18T12,1,0,0,1
2026-09-18T13,3,0,0,3
2026-09-18T19,3,3,0,0
2026-09-18T20,9,2,7,0
2026-09-18T21,13,5,8,0
2026-09-18T22,12,4,8,0
2026-09-18T23,5,2,3,0
2026-09-19T00,8,5,3,0
2026-09-19T01,3,3,0,0
2026-09-19T02,5,1,4,0
2026-09-19T03,13,5,8,0
2026-09-19T04,6,5,1,0
2026-09-19T05,7,4,3,0
